index,subj_idx,stim,movie,rt,response,run,accuracy
1062,693764,Mental,SEDUCING-B.AVI,1.021,1,1,1.0
1063,693764,Random,STAR-A.AVI,1.497,0,1,1.0
1064,693764,Mental,SURPRISING-B.AVI,0.902,1,1,1.0
1065,693764,Random,TENNIS-A.AVI,1.141,0,1,1.0
1075,143426,Mental,Scaring.AVI,0.631,1,1,1.0
1076,143426,Mental,SEDUCING-B.AVI,0.691,1,1,1.0
1077,143426,Random,STAR-A.AVI,0.149,9,1,9.0
1078,143426,Mental,SURPRISING-B.AVI,1.039,1,1,1.0
1079,143426,Random,TENNIS-A.AVI,0.914,0,1,1.0
1080,984472,Mental,Scaring.AVI,0.769,1,1,1.0
1081,984472,Mental,SEDUCING-B.AVI,0.921,1,1,1.0
1082,984472,Random,STAR-A.AVI,0.393,0,1,1.0
1083,984472,Mental,SURPRISING-B.AVI,0.948,1,1,1.0
1084,984472,Random,TENNIS-A.AVI,0.796,0,1,1.0
1085,200311,Mental,Scaring.AVI,0.667,1,1,1.0
1086,200311,Mental,SEDUCING-B.AVI,1.746,1,1,1.0
1087,200311,Random,STAR-A.AVI,1.445,0,1,1.0
1088,200311,Mental,SURPRISING-B.AVI,1.38,1,1,1.0
1089,200311,Random,TENNIS-A.AVI,1.099,0,1,1.0
1090,213017,Mental,Scaring.AVI,1.128,1,1,1.0
1091,213017,Mental,SEDUCING-B.AVI,0.715,1,1,1.0
1092,213017,Random,STAR-A.AVI,1.685,0,1,1.0
1093,213017,Mental,SURPRISING-B.AVI,0.943,1,1,1.0
1094,213017,Random,TENNIS-A.AVI,0.703,0,1,1.0
1095,339847,Mental,COAXING-B.AVI,0.796,1,0,1.0
1096,339847,Random,BILLIARD-A.AVI,2.731,0,0,1.0
1097,339847,Random,DRIFTING-A.AVI,0.919,0,0,1.0
1098,339847,Mental,Fishing.AVI,0.764,1,0,1.0
1099,339847,Random,Random mechanical.AVI,0.737,9,0,9.0
1100,517239,Mental,Scaring.AVI,0.879,1,1,1.0
1101,517239,Mental,SEDUCING-B.AVI,0.62,1,1,1.0
1102,517239,Random,STAR-A.AVI,0.601,0,1,1.0
1103,517239,Mental,SURPRISING-B.AVI,0.791,1,1,1.0
1104,517239,Random,TENNIS-A.AVI,1.289,0,1,1.0
1105,571548,Mental,Scaring.AVI,0.763,1,1,1.0
1106,571548,Mental,SEDUCING-B.AVI,0.698,1,1,1.0
1107,571548,Random,STAR-A.AVI,1.127,0,1,1.0
1108,571548,Mental,SURPRISING-B.AVI,0.69,1,1,1.0
1109,571548,Random,TENNIS-A.AVI,1.609,0,1,1.0
1115,172635,Mental,Scaring.AVI,1.036,1,1,1.0
1116,172635,Mental,SEDUCING-B.AVI,0.894,1,1,1.0
1117,172635,Random,STAR-A.AVI,0.808,0,1,1.0
1118,172635,Mental,SURPRISING-B.AVI,0.864,1,1,1.0
1119,172635,Random,TENNIS-A.AVI,0.76,9,1,9.0
1125,108121,Mental,COAXING-B.AVI,1.238,1,0,1.0
1126,108121,Random,BILLIARD-A.AVI,1.954,0,0,1.0
1127,108121,Random,DRIFTING-A.AVI,0.778,0,0,1.0
1128,108121,Mental,Fishing.AVI,0.766,1,0,1.0
1129,108121,Random,Random mechanical.AVI,0.746,0,0,1.0
1135,156334,Mental,COAXING-B.AVI,0.662,1,0,1.0
1136,156334,Random,BILLIARD-A.AVI,0.577,0,0,1.0
1137,156334,Random,DRIFTING-A.AVI,0.623,0,0,1.0
1138,156334,Mental,Fishing.AVI,0.913,1,0,1.0
1139,156334,Random,Random mechanical.AVI,1.114,9,0,9.0
1140,518746,Mental,COAXING-B.AVI,1.578,1,0,1.0
1141,518746,Random,BILLIARD-A.AVI,1.147,0,0,1.0
1142,518746,Random,DRIFTING-A.AVI,1.433,0,0,1.0
1143,518746,Mental,Fishing.AVI,0.744,1,0,1.0
1144,518746,Random,Random mechanical.AVI,0.602,0,0,1.0
1145,195849,Mental,Scaring.AVI,1.173,1,1,1.0
1146,195849,Mental,SEDUCING-B.AVI,1.379,1,1,1.0
1147,195849,Random,STAR-A.AVI,1.799,0,1,1.0
1148,195849,Mental,SURPRISING-B.AVI,0.707,1,1,1.0
1149,195849,Random,TENNIS-A.AVI,0.738,0,1,1.0
1150,167238,Mental,Scaring.AVI,0.713,1,1,1.0
1151,167238,Mental,SEDUCING-B.AVI,0.411,1,1,1.0
1152,167238,Random,STAR-A.AVI,0.311,0,1,1.0
1153,167238,Mental,SURPRISING-B.AVI,0.592,1,1,1.0
