index,subj_idx,stim,movie,rt,response,run,accuracy
300,970764,Random,BILLIARD-A.AVI,1.144,0,0,1.0
301,970764,Random,DRIFTING-A.AVI,2.908,9,0,9.0
302,970764,Mental,Fishing.AVI,1.063,1,0,1.0
303,970764,Random,Random mechanical.AVI,1.27,0,0,1.0
304,205220,Mental,Scaring.AVI,0.542,1,1,1.0
305,205220,Mental,SEDUCING-B.AVI,1.073,1,1,1.0
306,205220,Random,STAR-A.AVI,0.747,0,1,1.0
307,205220,Mental,SURPRISING-B.AVI,0.608,1,1,1.0
308,205220,Random,TENNIS-A.AVI,0.678,0,1,1.0
309,211417,Mental,COAXING-B.AVI,1.694,1,0,1.0
310,211417,Random,BILLIARD-A.AVI,1.836,0,0,1.0
311,211417,Random,DRIFTING-A.AVI,1.374,0,0,1.0
