,d,beta,c,Ad
100206,0.4399303319716861,0.6268650096300457,-1.0615863995587573,0.622129231220526
100307,1.9919706139489222,0.7352911777136898,-0.15436407340154684,0.9205137821181946
100408,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
100610,2.5631031310892007,1.0,-0.0,0.9650368366397468
101309,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
101410,2.5631031310892007,1.0,-0.0,0.9650368366397468
101915,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
102008,2.117770946477709,0.8239053639971495,-0.09146390713715341,0.932867122803402
102311,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
102513,0.4399303319716861,0.6268650096300457,-1.0615863995587573,0.622129231220526
102614,2.5631031310892007,1.0,-0.0,0.9650368366397468
102715,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
103111,1.2815515655446004,0.4399090809725481,-0.6407757827723002,0.8175833586070742
103212,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
103414,2.5631031310892007,1.0,-0.0,0.9650368366397468
103818,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
104012,1.1052170494915392,0.8739735137841343,-0.12188122545031208,0.7827476636728616
104416,2.3006987607520157,1.0,-0.0,0.948114425737803
104820,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
105014,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
105115,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
105216,2.5631031310892007,1.0,-0.0,0.9650368366397468
105620,2.5631031310892007,1.0,-0.0,0.9650368366397468
106016,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
106319,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
106824,2.5631031310892007,1.0,-0.0,0.9650368366397468
107018,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
107220,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
107321,2.5631031310892007,1.0,-0.0,0.9650368366397468
107422,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
108020,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
108121,2.5631031310892007,1.0,-0.0,0.9650368366397468
108323,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
108828,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
109830,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
110007,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
110411,2.5631031310892007,1.0,-0.0,0.9650368366397468
111009,2.5631031310892007,1.0,-0.0,0.9650368366397468
111312,1.2815515655446004,0.4399090809725481,-0.6407757827723002,0.8175833586070742
111514,2.5631031310892007,1.0,-0.0,0.9650368366397468
111716,2.5631031310892007,1.0,-0.0,0.9650368366397468
112112,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
112314,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
112516,2.5631031310892007,1.0,-0.0,0.9650368366397468
112920,2.5631031310892007,1.0,-0.0,0.9650368366397468
113316,1.712278864840058,0.48266897879461257,-0.4254121331245714,0.8870070663184544
113619,1.9919706139489222,1.3600054377225008,0.1543640734015468,0.9205137821181946
113922,2.5631031310892007,1.0,-0.0,0.9650368366397468
114116,2.5631031310892007,1.0,-0.0,0.9650368366397468
114419,1.5348986686804,0.45425578784716697,-0.5141022312044004,0.8611138448309655
114621,2.5631031310892007,1.0,-0.0,0.9650368366397468
114823,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
115217,1.2815515655446004,0.4399090809725481,-0.6407757827723002,0.8175833586070742
115825,1.8090427996746152,1.1205157752048598,0.06290016626439338,0.8995842935450682
116221,2.5631031310892007,1.0,-0.0,0.9650368366397468
116726,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
117021,2.5631031310892007,1.0,-0.0,0.9650368366397468
117324,1.9919706139489222,1.3600054377225008,0.1543640734015468,0.9205137821181946
117930,2.5631031310892007,1.0,-0.0,0.9650368366397468
118023,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
118124,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
118225,2.5631031310892007,1.0,-0.0,0.9650368366397468
118528,0.1312021851685925,0.85253982181483,-1.2159504729603041,0.5369584286101813
118831,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
118932,2.5631031310892007,1.0,-0.0,0.9650368366397468
119025,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
119732,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
120111,2.5631031310892007,1.0,-0.0,0.9650368366397468
120212,2.5631031310892007,1.0,-0.0,0.9650368366397468
120515,2.5631031310892007,1.0,-0.0,0.9650368366397468
120717,2.5631031310892007,1.0,-0.0,0.9650368366397468
121921,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
122317,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
122418,2.5631031310892007,1.0,-0.0,0.9650368366397468
122822,2.5631031310892007,1.0,-0.0,0.9650368366397468
123117,2.5631031310892007,1.0,-0.0,0.9650368366397468
123521,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
124220,2.5631031310892007,1.0,-0.0,0.9650368366397468
124422,1.5348986686804,0.45425578784716697,-0.5141022312044004,0.8611138448309655
124826,2.5631031310892007,1.0,-0.0,0.9650368366397468
125222,0.850824266249143,0.48266897879461257,-0.8561394324200289,0.7262876447921953
