subj_idx,medianRT_Mental,medianRT_Random,medianMental-medianRandom
166438,0.731,0.722,0.009000000000000008
167036,0.847,1.137,-0.29000000000000004
167238,0.713,0.788,-0.07500000000000007
167743,1.146,1.1315,0.014499999999999957
168240,0.827,0.496,0.33099999999999996
168745,1.082,1.232,-0.1499999999999999
168947,0.813,0.792,0.020999999999999908
169040,0.819,0.6479999999999999,0.17100000000000004
169343,0.942,0.7835000000000001,0.15849999999999986
169444,1.207,1.07,0.137
169545,0.922,0.63,0.29200000000000004
169747,0.8474999999999999,1.063,-0.21550000000000002
169949,0.823,0.845,-0.02200000000000002
170631,1.391,1.108,0.2829999999999999
170934,0.506,1.149,-0.643
171532,1.1429999999999998,0.756,0.3869999999999998
171633,0.724,0.788,-0.06400000000000006
171734,0.677,0.615,0.062000000000000055
172130,0.898,1.7055,-0.8075
172332,0.987,0.98,0.007000000000000006
172433,1.466,1.516,-0.050000000000000044
172534,0.7705,0.855,-0.08450000000000002
172635,1.036,1.048,-0.01200000000000001
173435,0.802,1.02,-0.21799999999999997
173536,0.6825,0.693,-0.010499999999999954
173637,0.632,1.77,-1.138
173839,0.886,1.0715,-0.1854999999999999
173940,0.958,1.542,-0.5840000000000001
174437,0.736,0.785,-0.049000000000000044
174841,1.134,1.395,-0.2610000000000001
175136,0.767,0.893,-0.126
175237,0.813,0.841,-0.028000000000000025
175742,0.837,0.921,-0.08400000000000007
176037,0.8945,1.5205000000000002,-0.6260000000000002
176239,1.108,0.853,0.2550000000000001
176441,0.608,0.334,0.27399999999999997
176542,1.108,0.986,0.12200000000000011
176744,0.887,0.894,-0.007000000000000006
176845,0.833,0.724,0.10899999999999999
177140,0.993,1.15,-0.15699999999999992
177241,1.017,0.94,0.07699999999999996
177645,0.865,0.759,0.10599999999999998
177746,0.884,1.181,-0.29700000000000004
178142,1.085,1.145,-0.06000000000000005
178243,0.938,1.157,-0.21900000000000008
178647,0.71,0.791,-0.08100000000000007
178748,1.667,1.415,0.252
178849,1.045,0.938,0.10699999999999998
178950,0.858,0.788,0.06999999999999995
179245,1.9344999999999999,1.659,0.27549999999999986
179548,0.735,0.815,-0.07999999999999996
180129,0.918,1.007,-0.08899999999999986
180230,0.953,1.206,-0.253
180432,0.732,0.6985,0.033499999999999974
180533,0.824,1.209,-0.3850000000000001
180735,1.422,1.7719999999999998,-0.34999999999999987
180836,0.9245,0.627,0.2975
180937,0.541,0.854,-0.31299999999999994
182032,0.865,0.888,-0.02300000000000002
182436,0.724,0.596,0.128
182739,0.994,1.142,-0.1479999999999999
183034,0.751,1.154,-0.4029999999999999
183741,0.704,0.573,0.131
185038,1.174,0.786,0.3879999999999999
185341,0.911,1.472,-0.5609999999999999
185442,0.558,0.577,-0.018999999999999906
185947,0.766,0.5740000000000001,0.19199999999999995
186040,1.062,0.717,0.3450000000000001
186141,0.7895,0.818,-0.02849999999999997
186444,1.167,1.3195000000000001,-0.15250000000000008
186949,0.808,1.3375,-0.5294999999999999
187143,1.228,1.0205,0.20750000000000002
187547,0.631,0.6825,-0.05149999999999999
187850,0.892,0.718,0.17400000000000004
188347,1.302,1.0865,0.21550000000000002
188448,1.025,1.026,-0.001000000000000112
188549,0.828,0.749,0.07899999999999996
188751,0.708,0.704,0.0040000000000000036
189450,0.833,0.668,0.16499999999999992
189652,0.987,2.63,-1.6429999999999998
191033,1.058,0.859,0.19900000000000007
191336,1.108,0.935,0.17300000000000004
191437,0.911,0.964,-0.052999999999999936
191942,1.046,0.91,0.136
192035,1.347,0.532,0.815
192237,0.75,0.9215,-0.17149999999999999
192540,0.911,1.066,-0.15500000000000003
192641,0.833,0.645,0.18799999999999994
192843,0.755,0.992,-0.237
193239,0.701,1.163,-0.4620000000000001
193845,0.777,0.537,0.24
194140,0.79,1.4525,-0.6624999999999999
194443,1.021,0.787,0.23399999999999987
194645,0.9199999999999999,0.6375,0.2825
194746,0.959,0.5315000000000001,0.4274999999999999
194847,0.72,0.702,0.018000000000000016
195041,0.757,0.632,0.125
195647,1.536,1.881,-0.345
195849,1.349,2.092,-0.7430000000000001
196144,1.67,1.2570000000000001,0.4129999999999998
196346,0.662,0.5945,0.0675
196750,1.392,0.744,0.6479999999999999
196851,1.053,0.927,0.1259999999999999
196952,0.654,0.687,-0.03300000000000003
197348,0.9809999999999999,1.033,-0.052000000000000046
197550,0.8,1.347,-0.5469999999999999
197651,1.017,1.2,-0.18300000000000005
198047,0.805,0.742,0.06300000000000006
198249,0.835,0.786,0.04899999999999993
198350,0.693,0.655,0.03799999999999992
198451,0.953,0.903,0.04999999999999993
198653,0.706,0.7525000000000001,-0.0465000000000001
198855,1.077,2.2305,-1.1535000000000002
199251,0.8085,0.844,-0.035499999999999976
199352,1.348,0.672,0.676
199453,1.154,1.15,0.0040000000000000036
199655,0.754,0.7885,-0.034499999999999975
199958,1.0,1.707,-0.7070000000000001
200008,0.808,0.578,0.2300000000000001
200109,0.607,0.574,0.03300000000000003
200210,0.644,0.658,-0.014000000000000012
200311,1.38,1.445,-0.06500000000000017
200513,0.64,0.622,0.018000000000000016
200614,0.657,0.609,0.04800000000000004
200917,0.802,0.72,0.08200000000000007
201111,1.034,1.0270000000000001,0.006999999999999895
201414,1.055,1.1059999999999999,-0.050999999999999934
201515,0.86,0.56,0.29999999999999993
201818,0.689,0.7925,-0.10350000000000004
202113,1.062,1.483,-0.42100000000000004
202719,0.707,0.86,-0.15300000000000002
202820,0.707,0.859,-0.15200000000000002
203418,0.775,0.898,-0.123
203923,1.155,1.115,0.040000000000000036
204016,0.895,0.885,0.010000000000000009
204218,0.606,0.422,0.184
204319,0.808,0.979,-0.17099999999999993
204521,0.556,0.559,-0.0030000000000000027
204622,0.725,0.976,-0.251
205119,1.007,1.432,-0.42500000000000004
205220,1.073,0.747,0.32599999999999996
205725,0.716,0.5965,0.11949999999999994
205826,1.026,1.6735000000000002,-0.6475000000000002
206222,0.76,1.047,-0.2869999999999999
206323,0.694,0.948,-0.254
206525,1.024,0.979,0.04500000000000004
206727,0.988,0.922,0.06599999999999995
206828,0.716,0.576,0.14
206929,1.647,1.088,0.5589999999999999
207123,1.044,1.025,0.019000000000000128
207426,1.075,0.74,0.33499999999999996
208024,1.088,0.8265,0.26150000000000007
208125,0.73,0.6755,0.05449999999999999
208327,0.951,0.954,-0.0030000000000000027
208428,1.03,1.528,-0.498
208630,1.116,1.776,-0.6599999999999999
209127,0.904,0.795,0.10899999999999999
209228,0.7415,1.384,-0.6424999999999998
209329,0.966,0.689,0.277
209834,0.674,0.81,-0.136
209935,1.111,0.918,0.19299999999999995
210011,1.595,1.241,0.35399999999999987
210112,0.89,1.02,-0.13
210415,0.716,0.985,-0.269
210617,0.662,0.98,-0.31799999999999995
211114,0.638,0.59,0.04800000000000004
211316,1.484,1.2315,0.25249999999999995
211417,1.432,1.322,0.10999999999999988
211821,1.237,1.094,0.14300000000000002
211922,0.709,0.835,-0.126
212116,0.673,0.701,-0.027999999999999914
212318,0.87,1.407,-0.537
212419,0.798,0.708,0.09000000000000008
212823,0.539,0.622,-0.08299999999999996
213017,0.943,1.5665,-0.6235
213421,1.002,2.03,-1.0279999999999998
214423,1.072,1.2730000000000001,-0.20100000000000007
214625,0.984,0.787,0.19699999999999995
214726,0.854,0.827,0.027000000000000024
217126,1.189,0.805,0.384
217429,0.844,1.8664999999999998,-1.0225
219231,1.028,1.12,-0.09200000000000008
220721,1.233,1.509,-0.2759999999999998
223929,1.084,2.04,-0.956
227533,1.094,0.726,0.3680000000000001
228434,0.644,0.683,-0.039000000000000035
231928,0.85,0.809,0.040999999999999925
236130,0.639,0.575,0.06400000000000006
237334,0.769,1.8639999999999999,-1.0949999999999998
238033,0.936,0.867,0.06900000000000006
239136,0.644,0.62,0.02400000000000002
239944,0.791,0.766,0.025000000000000022
245333,1.041,0.95,0.09099999999999997
246133,1.024,0.901,0.123
248238,0.603,0.595,0.008000000000000007
248339,0.8420000000000001,0.927,-0.08499999999999996
249947,0.796,0.7404999999999999,0.055500000000000105
250427,0.882,1.31,-0.42800000000000005
250932,0.9795,1.119,-0.13949999999999996
251833,0.715,0.832,-0.11699999999999999
255639,0.673,1.2555,-0.5825
255740,0.818,1.199,-0.3810000000000001
256540,0.632,0.7695000000000001,-0.13750000000000007
257542,0.796,0.9025000000000001,-0.10650000000000004
257946,0.745,0.502,0.243
263436,0.847,0.949,-0.10199999999999998
268749,0.883,1.062,-0.17900000000000005
268850,0.898,1.5655000000000001,-0.6675000000000001
270332,0.667,0.858,-0.19099999999999995
274542,0.709,0.684,0.02499999999999991
275645,0.751,0.546,0.20499999999999996
280941,1.122,0.948,0.17400000000000015
281135,0.865,0.634,0.23099999999999998
283543,0.694,0.638,0.05599999999999994
286347,1.093,1.1425,-0.0495000000000001
286650,0.547,0.5,0.04700000000000004
290136,0.959,0.948,0.01100000000000001
293748,1.312,1.254,0.05800000000000005
295146,0.8985,1.489,-0.5905000000000001
297655,1.705,1.278,0.42700000000000005
298051,0.709,0.652,0.05699999999999994
298455,0.538,0.52,0.018000000000000016
299154,0.7250000000000001,0.547,0.17800000000000005
299760,1.186,1.025,0.16100000000000003
300719,1.117,1.19,-0.07299999999999995
303119,0.5994999999999999,1.0630000000000002,-0.46350000000000025
303624,0.753,0.951,-0.19799999999999995
304020,0.74,1.152,-0.4119999999999999
304727,0.806,0.733,0.07300000000000006
305830,0.942,0.78,0.16199999999999992
307127,1.308,1.249,0.05899999999999994
308331,0.881,1.109,-0.22799999999999998
309636,1.529,1.026,0.5029999999999999
310621,1.08,2.031,-0.9510000000000001
316633,0.714,0.852,-0.138
316835,0.738,0.874,-0.136
321323,1.4895,1.8175,-0.32799999999999985
322224,0.894,0.715,0.17900000000000005
325129,0.773,0.505,0.268
329844,0.934,0.821,0.1130000000000001
330324,0.644,0.698,-0.05399999999999994
333330,0.957,1.438,-0.481
336841,0.561,0.5855,-0.024499999999999966
339847,0.714,0.7975000000000001,-0.08350000000000013
346137,0.727,0.94,-0.21299999999999997
346945,0.8215,0.607,0.21450000000000002
348545,0.669,0.996,-0.32699999999999996
349244,1.154,1.6,-0.4460000000000002
350330,0.693,0.749,-0.05600000000000005
351938,1.114,1.3319999999999999,-0.21799999999999975
352132,1.236,0.852,0.384
352738,0.703,1.3,-0.5970000000000001
353740,0.734,0.9749999999999999,-0.24099999999999988
355239,1.203,1.449,-0.246
356948,1.1655,1.093,0.07250000000000001
358144,0.638,0.82,-0.18199999999999994
360030,0.8705,0.878,-0.007499999999999951
361234,0.935,0.826,0.1090000000000001
361941,0.862,0.704,0.15800000000000003
365343,1.287,1.0395,0.24749999999999983
366042,0.862,0.561,0.30099999999999993
368753,0.518,0.86,-0.34199999999999997
371843,1.056,1.014,0.04200000000000004
376247,0.96,1.1895,-0.22950000000000004
377451,0.864,0.818,0.04600000000000004
378756,0.626,0.768,-0.14200000000000002
380036,1.204,1.257,-0.052999999999999936
381038,0.977,0.6695,0.3075
381543,0.699,1.172,-0.473
382242,0.844,1.051,-0.20699999999999996
385046,1.024,0.756,0.268
385450,0.85,0.935,-0.08500000000000008
386250,0.878,0.81,0.06799999999999995
387959,0.861,1.045,-0.18399999999999994
389357,0.9504999999999999,0.919,0.03149999999999986
390645,1.346,1.4,-0.053999999999999826
391748,0.815,1.017,-0.20199999999999996
392447,0.824,0.729,0.09499999999999997
392750,0.771,0.831,-0.05999999999999994
393247,1.076,0.641,0.43500000000000005
393550,0.994,0.887,0.10699999999999998
395251,0.86,0.678,0.18199999999999994
395756,0.829,0.751,0.07799999999999996
395958,0.79,1.077,-0.2869999999999999
397154,0.838,0.923,-0.08500000000000008
397760,0.805,0.915,-0.10999999999999999
397861,0.811,0.838,-0.026999999999999913
401422,0.657,0.6065,0.05049999999999999
406432,1.299,1.716,-0.41700000000000004
406836,0.577,0.756,-0.17900000000000005
412528,0.66,0.86,-0.19999999999999996
413934,0.872,1.5445,-0.6725
414229,0.949,0.977,-0.028000000000000025
415837,0.783,1.31,-0.527
419239,0.995,1.304,-0.30900000000000005
421226,0.881,1.139,-0.258
429040,0.531,0.588,-0.05699999999999994
432332,0.72,0.78,-0.06000000000000005
433839,1.039,0.801,0.23799999999999988
436239,0.885,0.795,0.08999999999999997
441939,0.822,0.964,-0.14200000000000002
445543,1.377,1.279,0.09800000000000009
449753,0.658,0.74,-0.08199999999999996
453441,1.281,0.916,0.3649999999999999
453542,0.706,1.6135,-0.9075
454140,0.815,0.681,0.1339999999999999
456346,0.729,1.201,-0.4720000000000001
459453,0.683,1.2945,-0.6114999999999999
461743,0.767,0.87,-0.10299999999999998
462139,1.135,1.211,-0.07600000000000007
463040,1.1835,1.128,0.055500000000000105
465852,1.609,1.251,0.3580000000000001
467351,1.034,0.851,0.18300000000000005
468050,0.9,0.5934999999999999,0.3065000000000001
469961,0.908,1.2325,-0.3244999999999999
473952,0.73,0.541,0.18899999999999995
475855,1.4449999999999998,0.9515,0.4934999999999998
480141,0.737,0.6,0.137
481042,0.687,0.803,-0.11599999999999999
481951,1.207,0.9415,0.26550000000000007
485757,0.726,1.8845,-1.1585
486759,0.698,0.812,-0.1140000000000001
495255,1.0,1.353,-0.353
499566,1.295,0.693,0.602
506234,0.6735,0.811,-0.13750000000000007
510326,0.781,1.198,-0.4169999999999999
512835,0.723,1.011,-0.2879999999999999
513130,0.808,1.055,-0.2469999999999999
513736,0.982,0.776,0.20599999999999996
516742,0.74,0.746,-0.006000000000000005
517239,0.879,1.289,-0.4099999999999999
518746,1.029,1.113,-0.08400000000000007
519647,0.708,1.8915,-1.1835
519950,0.74,1.225,-0.4850000000000001
520228,1.249,0.876,0.3730000000000001
522434,0.599,0.687,-0.08800000000000008
523032,1.262,0.754,0.508
525541,0.853,1.002,-0.14900000000000002
529549,0.675,0.6745,0.000500000000000056
529953,0.808,0.623,0.18500000000000005
530635,0.894,0.809,0.08499999999999996
531536,1.357,1.477,-0.1200000000000001
540436,1.076,1.2635,-0.1875
541640,0.6515,1.034,-0.38250000000000006
541943,1.025,1.071,-0.04600000000000004
545345,1.113,1.561,-0.44799999999999995
547046,1.101,0.759,0.34199999999999997
548250,0.837,0.501,0.33599999999999997
550439,0.759,0.95,-0.19099999999999995
552544,1.17,0.9850000000000001,0.18499999999999983
553344,1.066,0.88,0.18600000000000005
555348,1.632,1.433,0.19899999999999984
555651,1.753,0.954,0.7989999999999999
555954,0.926,0.706,0.22000000000000008
557857,0.615,1.075,-0.45999999999999996
558657,1.634,1.8395000000000001,-0.20550000000000024
558960,0.838,0.986,-0.14800000000000002
559053,1.183,1.889,-0.706
559457,0.771,0.915,-0.14400000000000002
561242,0.76,0.531,0.22899999999999998
561444,1.056,1.468,-0.4119999999999999
561949,0.791,0.796,-0.0050000000000000044
562446,0.999,0.784,0.21499999999999997
565452,1.3290000000000002,0.7935,0.5355000000000002
566454,0.941,0.766,0.17499999999999993
567052,0.988,0.967,0.02100000000000002
567759,0.825,1.1375,-0.3125
568963,0.729,0.81,-0.08100000000000007
570243,0.633,0.688,-0.05499999999999994
571144,1.094,1.101,-0.006999999999999895
571548,0.763,1.609,-0.846
572045,0.67,0.547,0.123
573249,0.811,0.878,-0.06699999999999995
573451,0.829,0.6325,0.1965
576255,0.734,1.1199999999999999,-0.3859999999999999
578057,0.962,1.362,-0.40000000000000013
579867,1.22,0.849,0.371
580044,0.753,1.176,-0.42299999999999993
580347,0.908,1.098,-0.19000000000000006
580560,1.115,0.989,0.126
580751,0.815,0.5435,0.27149999999999996
581349,1.082,1.788,-0.706
581450,0.808,0.53,0.278
583858,0.774,0.6575,0.11650000000000005
585862,0.721,0.5295,0.1915
587664,1.2734999999999999,1.237,0.036499999999999755
588565,0.679,0.73,-0.050999999999999934
590047,0.668,0.9655,-0.2975
592455,0.983,0.8839999999999999,0.09900000000000009
594156,0.835,0.892,-0.05700000000000005
597869,1.056,0.862,0.19400000000000006
598568,0.724,0.979,-0.255
599065,0.775,0.548,0.22699999999999998
599469,0.653,0.717,-0.06399999999999995
599671,0.624,0.72,-0.09599999999999997
601127,0.671,0.694,-0.02299999999999991
604537,1.079,0.882,0.19699999999999995
609143,0.996,0.814,0.18200000000000005
611938,1.015,0.978,0.03699999999999992
613538,0.677,0.647,0.030000000000000027
614439,1.092,0.9,0.19200000000000006
615744,0.604,0.609,-0.0050000000000000044
616645,0.857,1.3639999999999999,-0.5069999999999999
618952,0.799,1.057,-0.2579999999999999
620434,0.899,1.346,-0.44700000000000006
622236,0.74,0.718,0.02200000000000002
623844,0.951,0.667,0.2839999999999999
626648,1.248,1.4815,-0.23350000000000004
628248,0.906,0.976,-0.06999999999999995
634748,1.515,1.4874999999999998,0.02750000000000008
635245,0.961,1.2534999999999998,-0.29249999999999987
638049,1.047,0.7895,0.25749999999999995
644044,1.365,1.13,0.2350000000000001
644246,1.0115,0.541,0.47050000000000003
645450,1.001,0.972,0.028999999999999915
645551,0.927,1.252,-0.32499999999999996
647858,0.868,1.289,-0.42099999999999993
654350,0.751,0.911,-0.16000000000000003
654552,0.622,0.747,-0.125
654754,0.9095,0.793,0.11649999999999994
656253,1.043,1.4095,-0.36650000000000005
656657,1.32,1.0765,0.24350000000000005
657659,0.868,0.52,0.348
660951,0.65,0.716,-0.06599999999999995
663755,0.769,0.966,-0.19699999999999995
664757,0.893,0.945,-0.051999999999999935
665254,0.542,0.6425,-0.10049999999999992
667056,0.698,0.585,0.11299999999999999
668361,1.091,0.816,0.275
671855,0.8905000000000001,0.817,0.07350000000000012
672756,0.67,1.408,-0.7379999999999999
673455,0.924,0.899,0.025000000000000022
675661,0.742,0.779,-0.03700000000000003
677766,0.871,1.233,-0.3620000000000001
679568,1.136,0.6755,0.4604999999999999
680250,0.904,0.754,0.15000000000000002
683256,1.056,1.51,-0.45399999999999996
686969,0.786,0.718,0.06800000000000006
688569,0.896,1.069,-0.17299999999999993
689470,1.041,1.1219999999999999,-0.08099999999999996
692694,1.277,0.916,0.3609999999999999
693764,1.11,1.141,-0.030999999999999917
