subj_idx,stim,movie,rt,response,run,accuracy,logRT
108121,Mental,SEDUCING-B.AVI,0.76,1,1,1.0,-0.2744368457017603
108121,Random,STAR-A.AVI,0.51,0,1,1.0,-0.6733445532637656
108121,Mental,SURPRISING-B.AVI,0.794,1,1,1.0,-0.23067181773500128
108121,Random,TENNIS-A.AVI,0.964,0,1,1.0,-0.03666398437159147
195849,Mental,COAXING-B.AVI,1.361,1,0,1.0,0.30821972366932904
195849,Random,BILLIARD-A.AVI,2.73,0,0,1.0,1.0043016091968684
195849,Random,DRIFTING-A.AVI,2.188,0,0,1.0,0.7829878845597349
195849,Mental,Fishing.AVI,1.349,1,0,1.0,0.2993635772256188
195849,Random,Random mechanical.AVI,2.092,0,0,1.0,0.7381205462026765
156334,Mental,Scaring.AVI,0.656,1,1,1.0,-0.42159449003804794
156334,Mental,SEDUCING-B.AVI,0.629,1,1,1.0,-0.4636240222816965
156334,Random,STAR-A.AVI,0.564,0,1,1.0,-0.5727010274840783
156334,Mental,SURPRISING-B.AVI,0.677,1,1,1.0,-0.390084006069862
156334,Random,TENNIS-A.AVI,0.562,0,1,1.0,-0.5762534290884459
518746,Mental,Scaring.AVI,1.029,1,1,1.0,0.028587456851912472
518746,Mental,SEDUCING-B.AVI,0.73,1,1,1.0,-0.31471074483970024
518746,Random,STAR-A.AVI,1.021,0,1,1.0,0.02078253918252841
518746,Mental,SURPRISING-B.AVI,1.086,1,1,1.0,0.08250122151174377
518746,Random,TENNIS-A.AVI,1.113,1,1,0.0,0.10705907229340778
989987,Mental,Scaring.AVI,0.674,1,1,1.0,-0.39452516806982996
989987,Mental,SEDUCING-B.AVI,0.685,1,1,1.0,-0.3783364407199117
989987,Random,STAR-A.AVI,1.164,0,1,1.0,0.15186234930924603
989987,Mental,SURPRISING-B.AVI,0.99,1,1,1.0,-0.01005033585350145
989987,Random,TENNIS-A.AVI,1.504,0,1,1.0,0.4081282255276481
693764,Mental,COAXING-B.AVI,1.211,1,0,1.0,0.19144646457095527
693764,Random,BILLIARD-A.AVI,1.262,0,0,1.0,0.23269776411902143
693764,Random,DRIFTING-A.AVI,0.795,0,0,1.0,-0.2294131643278051
693764,Mental,Fishing.AVI,1.368,1,0,1.0,0.3133498192003588
693764,Random,Random mechanical.AVI,1.131,0,0,1.0,0.1231021971339834
984472,Mental,COAXING-B.AVI,1.22,1,0,1.0,0.19885085874516517
984472,Random,BILLIARD-A.AVI,0.962,0,0,1.0,-0.038740828316430595
984472,Random,DRIFTING-A.AVI,0.593,0,0,1.0,-0.5225608799844117
984472,Mental,Fishing.AVI,2.867,1,0,1.0,1.0532661869012327
984472,Random,Random mechanical.AVI,0.923,0,0,1.0,-0.08012604447928486
143426,Mental,COAXING-B.AVI,1.225,1,0,1.0,0.20294084399669038
143426,Random,BILLIARD-A.AVI,1.188,0,0,1.0,0.17227122094045313
143426,Random,DRIFTING-A.AVI,0.392,0,0,1.0,-0.9364934391916745
143426,Mental,Fishing.AVI,0.899,1,0,1.0,-0.10647224451051676
143426,Random,Random mechanical.AVI,1.068,0,0,1.0,0.06578774053800315
200311,Mental,COAXING-B.AVI,2.248,1,0,1.0,0.8100409320314448
200311,Random,BILLIARD-A.AVI,1.775,0,0,1.0,0.5738004229273791
200311,Random,DRIFTING-A.AVI,1.109,0,0,1.0,0.10345870836822997
200311,Mental,Fishing.AVI,0.935,1,0,1.0,-0.06720874969344999
200311,Random,Random mechanical.AVI,2.331,1,0,0.0,0.8462973600536201
213017,Mental,COAXING-B.AVI,0.912,1,0,1.0,-0.09211528890780563
213017,Random,BILLIARD-A.AVI,1.703,0,0,1.0,0.5323914016805513
213017,Random,DRIFTING-A.AVI,1.448,0,0,1.0,0.3701832939635246
213017,Mental,Fishing.AVI,1.192,1,0,1.0,0.17563256864315796
645551,Mental,Scaring.AVI,0.927,1,1,1.0,-0.07580171341628185
645551,Mental,SEDUCING-B.AVI,0.84,1,1,1.0,-0.1743533871447778
645551,Random,STAR-A.AVI,0.715,0,1,1.0,-0.33547273628812946
645551,Mental,SURPRISING-B.AVI,0.869,1,1,1.0,-0.140412153716745
656657,Mental,Scaring.AVI,1.472,1,1,1.0,0.38662202030668447
656657,Mental,SEDUCING-B.AVI,0.933,1,1,1.0,-0.06935007813479317
656657,Random,STAR-A.AVI,0.795,0,1,1.0,-0.2294131643278051
656657,Mental,SURPRISING-B.AVI,1.083,1,1,1.0,0.07973496801885352
656657,Random,TENNIS-A.AVI,1.086,0,1,1.0,0.08250122151174377
153126,Mental,COAXING-B.AVI,1.727,1,0,1.0,0.5463857991645416
153126,Random,BILLIARD-A.AVI,1.162,1,0,0.0,0.1501426584297194
153126,Mental,Fishing.AVI,0.979,1,0,1.0,-0.021223636451626688
153126,Random,Random mechanical.AVI,0.772,1,0,0.0,-0.25877072895736086
412528,Mental,Scaring.AVI,0.501,1,1,1.0,-0.6911491778972723
412528,Mental,SEDUCING-B.AVI,0.613,1,1,1.0,-0.48939034304592566
412528,Random,STAR-A.AVI,0.536,0,1,1.0,-0.623621117911335
