subj_idx,medianRT_NonSoc(No),medianRT_Soc(Yes),medianYes-medianNo
197348,1.033,0.9809999999999999,-0.052000000000000046
197550,1.347,0.8,-0.5469999999999999
197651,1.2,1.017,-0.18300000000000005
198047,0.742,0.805,0.06300000000000006
198249,0.786,0.835,0.04899999999999993
198350,0.739,0.671,-0.06799999999999995
198451,0.903,0.953,0.04999999999999993
198653,0.7525000000000001,0.706,-0.0465000000000001
198855,2.361,1.2045,-1.1565000000000003
199251,0.844,0.8085,-0.035499999999999976
199352,0.672,1.348,0.676
199453,1.15,1.154,0.0040000000000000036
199655,0.7885,0.754,-0.034499999999999975
199958,1.707,1.0,-0.7070000000000001
200008,0.578,0.808,0.2300000000000001
200109,0.574,0.607,0.03300000000000003
200210,0.658,0.644,-0.014000000000000012
200311,1.2770000000000001,1.563,0.2859999999999998
200513,0.622,0.64,0.018000000000000016
200614,0.609,0.657,0.04800000000000004
200917,0.7295,0.665,-0.0645
201111,1.0270000000000001,1.034,0.006999999999999895
201414,1.1059999999999999,1.055,-0.050999999999999934
201515,0.5295000000000001,0.9404999999999999,0.4109999999999998
201818,0.7925,0.689,-0.10350000000000004
202113,1.251,1.117,-0.1339999999999999
202719,0.86,0.707,-0.15300000000000002
202820,0.8545,0.7304999999999999,-0.12400000000000011
203418,0.898,0.775,-0.123
203923,1.115,1.155,0.040000000000000036
204016,0.885,0.895,0.010000000000000009
204218,0.423,0.521,0.09800000000000003
204319,0.979,0.808,-0.17099999999999993
204521,0.531,0.559,0.028000000000000025
204622,0.976,0.725,-0.251
205119,1.432,1.007,-0.42500000000000004
205220,0.747,1.073,0.32599999999999996
205725,0.5965,0.716,0.11949999999999994
205826,1.6735000000000002,1.026,-0.6475000000000002
206222,1.047,0.76,-0.2869999999999999
206323,1.291,0.576,-0.715
206525,0.979,1.024,0.04500000000000004
206727,0.922,0.988,0.06599999999999995
206828,0.576,0.716,0.14
206929,1.088,1.647,0.5589999999999999
207123,1.025,1.044,0.019000000000000128
207426,0.74,1.075,0.33499999999999996
208024,0.8265,1.088,0.26150000000000007
208125,0.6755,0.73,0.05449999999999999
208327,0.954,0.951,-0.0030000000000000027
208428,1.484,1.1645,-0.3194999999999999
208630,1.776,1.116,-0.6599999999999999
209127,0.8275,0.901,0.07350000000000001
209228,1.384,0.7415,-0.6424999999999998
209329,0.689,0.966,0.277
209834,0.81,0.674,-0.136
209935,0.918,1.111,0.19299999999999995
210011,1.241,1.595,0.35399999999999987
210112,1.02,0.89,-0.13
210415,0.985,0.716,-0.269
210617,1.0935000000000001,0.6935,-0.40000000000000013
211114,0.777,0.5735,-0.20350000000000001
211316,1.225,1.466,0.24099999999999988
211417,1.348,1.3245,-0.023500000000000076
211821,1.094,1.237,0.14300000000000002
211922,0.835,0.709,-0.126
212116,0.701,0.673,-0.027999999999999914
212318,1.407,0.87,-0.537
212419,0.708,0.798,0.09000000000000008
212823,0.622,0.539,-0.08299999999999996
213017,1.5665,0.943,-0.6235
213421,2.03,1.002,-1.0279999999999998
214423,1.2730000000000001,1.072,-0.20100000000000007
214625,0.787,0.984,0.19699999999999995
214726,0.827,0.854,0.027000000000000024
217126,0.805,1.189,0.384
217429,1.8664999999999998,0.844,-1.0225
219231,1.12,1.028,-0.09200000000000008
220721,1.596,0.6965,-0.8995000000000001
223929,2.04,1.084,-0.956
227533,0.726,1.094,0.3680000000000001
228434,0.683,0.644,-0.039000000000000035
231928,0.809,0.85,0.040999999999999925
236130,0.575,0.639,0.06400000000000006
237334,1.8639999999999999,0.769,-1.0949999999999998
238033,0.867,0.936,0.06900000000000006
239136,0.677,0.605,-0.07200000000000006
239944,0.766,0.791,0.025000000000000022
245333,0.95,1.041,0.09099999999999997
246133,0.901,1.024,0.123
248238,0.597,0.575,-0.02200000000000002
248339,0.927,0.8420000000000001,-0.08499999999999996
249947,0.7404999999999999,0.796,0.055500000000000105
250427,1.474,0.911,-0.563
250932,1.119,0.9795,-0.13949999999999996
251833,0.8945,0.6859999999999999,-0.20850000000000002
255639,1.2555,0.673,-0.5825
255740,1.199,0.818,-0.3810000000000001
256540,0.7695000000000001,0.632,-0.13750000000000007
257542,0.9025000000000001,0.796,-0.10650000000000004
257946,0.504,0.618,0.11399999999999999
263436,0.9929999999999999,0.851,-0.1419999999999999
268749,1.062,0.883,-0.17900000000000005
268850,1.496,0.894,-0.602
270332,0.858,0.667,-0.19099999999999995
274542,0.754,0.659,-0.09499999999999997
275645,0.546,0.751,0.20499999999999996
280941,0.948,1.122,0.17400000000000015
281135,0.634,0.865,0.23099999999999998
283543,0.638,0.694,0.05599999999999994
286347,1.1425,1.093,-0.0495000000000001
286650,0.5575,0.5205,-0.03700000000000003
290136,0.948,0.959,0.01100000000000001
293748,1.254,1.312,0.05800000000000005
295146,1.489,0.8985,-0.5905000000000001
297655,1.278,1.705,0.42700000000000005
298051,0.652,0.709,0.05699999999999994
298455,0.52,0.538,0.018000000000000016
299154,0.547,0.7250000000000001,0.17800000000000005
299760,1.025,1.186,0.16100000000000003
300719,0.996,1.1255,0.12949999999999995
303119,1.0630000000000002,0.5994999999999999,-0.46350000000000025
303624,0.951,0.753,-0.19799999999999995
304020,0.478,0.845,0.367
304727,0.825,0.769,-0.05599999999999994
305830,0.78,0.942,0.16199999999999992
307127,1.249,1.308,0.05899999999999994
308331,1.109,0.881,-0.22799999999999998
309636,1.026,1.529,0.5029999999999999
310621,2.031,1.08,-0.9510000000000001
316633,0.852,0.714,-0.138
316835,0.874,0.738,-0.136
321323,1.8175,1.4895,-0.32799999999999985
322224,0.715,0.894,0.17900000000000005
325129,0.505,0.773,0.268
329844,0.821,0.934,0.1130000000000001
330324,0.698,0.644,-0.05399999999999994
333330,1.438,0.957,-0.481
336841,0.5855,0.561,-0.024499999999999966
339847,0.7975000000000001,0.714,-0.08350000000000013
346137,0.94,0.727,-0.21299999999999997
346945,0.602,0.997,0.395
348545,0.996,0.669,-0.32699999999999996
349244,1.6,1.154,-0.4460000000000002
350330,0.749,0.693,-0.05600000000000005
351938,1.3319999999999999,1.114,-0.21799999999999975
352132,0.852,1.236,0.384
352738,1.3,0.703,-0.5970000000000001
353740,0.9749999999999999,0.734,-0.24099999999999988
355239,1.449,1.203,-0.246
356948,1.248,1.0965,-0.15149999999999997
358144,0.901,0.537,-0.364
360030,0.878,0.8705,-0.007499999999999951
361234,0.9284999999999999,0.9205000000000001,-0.007999999999999785
361941,0.704,0.862,0.15800000000000003
365343,1.0395,1.287,0.24749999999999983
366042,0.561,0.862,0.30099999999999993
368753,0.86,0.518,-0.34199999999999997
371843,1.014,1.056,0.04200000000000004
376247,1.1895,0.96,-0.22950000000000004
377451,0.818,0.864,0.04600000000000004
378756,0.768,0.626,-0.14200000000000002
380036,1.1585,1.245,0.08650000000000002
381038,0.6695,0.977,0.3075
381543,1.172,0.699,-0.473
382242,1.051,0.844,-0.20699999999999996
385046,0.756,1.024,0.268
385450,0.935,0.85,-0.08500000000000008
386250,0.81,0.878,0.06799999999999995
387959,1.045,0.861,-0.18399999999999994
389357,0.919,0.9504999999999999,0.03149999999999986
390645,1.346,1.367,0.020999999999999908
391748,1.017,0.815,-0.20199999999999996
392447,0.729,0.824,0.09499999999999997
392750,0.7655,0.8009999999999999,0.035499999999999976
393247,0.641,1.076,0.43500000000000005
393550,0.915,0.9025000000000001,-0.012499999999999956
395251,0.642,0.847,0.20499999999999996
395756,0.751,0.829,0.07799999999999996
395958,1.0274999999999999,0.7464999999999999,-0.2809999999999999
397154,0.923,0.838,-0.08500000000000008
397760,0.915,0.805,-0.10999999999999999
397861,0.838,0.811,-0.026999999999999913
401422,0.6065,0.657,0.05049999999999999
406432,1.4529999999999998,1.5074999999999998,0.05449999999999999
406836,0.756,0.577,-0.17900000000000005
412528,0.86,0.66,-0.19999999999999996
413934,1.5445,0.872,-0.6725
414229,0.977,0.949,-0.028000000000000025
415837,1.31,0.783,-0.527
419239,1.304,0.995,-0.30900000000000005
421226,1.139,0.881,-0.258
429040,0.588,0.531,-0.05699999999999994
432332,0.78,0.72,-0.06000000000000005
433839,0.801,1.039,0.23799999999999988
436239,0.795,0.885,0.08999999999999997
441939,0.964,0.822,-0.14200000000000002
445543,1.279,1.368,0.08900000000000019
449753,0.74,0.658,-0.08199999999999996
453441,0.916,1.281,0.3649999999999999
453542,1.827,0.6599999999999999,-1.167
454140,0.681,0.815,0.1339999999999999
456346,1.717,0.6825,-1.0345
459453,1.2945,0.683,-0.6114999999999999
461743,0.6435,0.933,0.2895000000000001
462139,1.211,1.135,-0.07600000000000007
463040,1.128,1.1835,0.055500000000000105
465852,1.3845,1.4605000000000001,0.07600000000000007
467351,0.851,1.034,0.18300000000000005
468050,0.5934999999999999,0.9,0.3065000000000001
469961,1.2325,0.908,-0.3244999999999999
473952,0.5495000000000001,0.7255,0.17599999999999993
475855,1.017,1.44,0.42300000000000004
480141,0.522,0.7435,0.22150000000000003
481042,0.803,0.687,-0.11599999999999999
481951,0.9415,1.207,0.26550000000000007
485757,1.8845,0.726,-1.1585
486759,0.812,0.698,-0.1140000000000001
495255,1.353,1.0,-0.353
499566,0.693,1.295,0.602
506234,0.811,0.6735,-0.13750000000000007
510326,1.4205,0.8645,-0.556
512835,1.011,0.723,-0.2879999999999999
513130,1.055,0.808,-0.2469999999999999
513736,0.776,0.982,0.20599999999999996
516742,0.746,0.74,-0.006000000000000005
517239,1.289,0.879,-0.4099999999999999
518746,1.084,1.0575,-0.026499999999999968
519647,1.8915,0.708,-1.1835
519950,1.482,0.729,-0.753
520228,0.868,1.071,0.20299999999999996
522434,0.687,0.599,-0.08800000000000008
523032,0.754,1.262,0.508
525541,1.002,0.853,-0.14900000000000002
529549,0.6745,0.675,0.000500000000000056
529953,0.623,0.808,0.18500000000000005
530635,0.809,0.894,0.08499999999999996
531536,1.477,1.357,-0.1200000000000001
540436,1.2635,1.076,-0.1875
541640,1.034,0.6515,-0.38250000000000006
541943,1.071,1.025,-0.04600000000000004
545345,1.475,1.196,-0.27900000000000014
547046,0.7645,1.0274999999999999,0.2629999999999999
548250,0.501,0.837,0.33599999999999997
550439,0.95,0.759,-0.19099999999999995
552544,0.9850000000000001,1.17,0.18499999999999983
553344,0.88,1.066,0.18600000000000005
555348,1.443,1.8479999999999999,0.4049999999999998
555651,0.954,1.753,0.7989999999999999
555954,0.706,0.926,0.22000000000000008
557857,1.075,0.615,-0.45999999999999996
558657,1.816,1.6985,-0.11750000000000016
558960,0.986,0.838,-0.14800000000000002
559053,1.889,1.183,-0.706
559457,0.915,0.771,-0.14400000000000002
561242,0.531,0.76,0.22899999999999998
561444,1.468,1.056,-0.4119999999999999
561949,0.796,0.791,-0.0050000000000000044
562446,0.784,0.999,0.21499999999999997
565452,0.7935,1.3290000000000002,0.5355000000000002
566454,0.766,0.941,0.17499999999999993
567052,0.948,1.0485,0.10050000000000003
567759,1.1375,0.825,-0.3125
568963,0.81,0.729,-0.08100000000000007
570243,0.688,0.633,-0.05499999999999994
571144,1.101,1.094,-0.006999999999999895
571548,1.609,0.763,-0.846
572045,0.547,0.67,0.123
573249,0.8320000000000001,1.055,0.22299999999999986
573451,0.6325,0.829,0.1965
576255,1.1199999999999999,0.734,-0.3859999999999999
578057,1.7475,0.958,-0.7895000000000001
579867,0.849,1.22,0.371
580044,1.176,0.753,-0.42299999999999993
580347,1.098,0.908,-0.19000000000000006
580560,0.9944999999999999,1.0325,0.038000000000000034
580751,0.5435,0.815,0.27149999999999996
581349,1.193,1.8475,0.6544999999999999
581450,0.53,0.808,0.278
583858,0.6575,0.774,0.11650000000000005
585862,0.5295,0.721,0.1915
587664,1.237,1.2734999999999999,0.036499999999999755
588565,0.73,0.679,-0.050999999999999934
590047,0.9655,0.668,-0.2975
592455,0.8839999999999999,0.983,0.09900000000000009
594156,0.892,0.835,-0.05700000000000005
597869,0.862,1.056,0.19400000000000006
598568,0.979,0.724,-0.255
599065,0.548,0.775,0.22699999999999998
599469,0.717,0.653,-0.06399999999999995
599671,0.72,0.624,-0.09599999999999997
601127,0.694,0.671,-0.02299999999999991
604537,0.882,1.079,0.19699999999999995
609143,0.814,0.996,0.18200000000000005
611938,0.978,1.015,0.03699999999999992
613538,0.647,0.677,0.030000000000000027
614439,0.9,1.092,0.19200000000000006
615744,0.609,0.604,-0.0050000000000000044
616645,1.3639999999999999,0.857,-0.5069999999999999
618952,1.057,0.799,-0.2579999999999999
620434,1.346,0.899,-0.44700000000000006
622236,0.718,0.74,0.02200000000000002
623844,0.665,0.9809999999999999,0.31599999999999984
626648,1.4815,1.248,-0.23350000000000004
628248,0.976,0.906,-0.06999999999999995
634748,1.4874999999999998,1.515,0.02750000000000008
635245,1.2534999999999998,0.961,-0.29249999999999987
638049,0.7895,1.047,0.25749999999999995
644044,1.13,1.365,0.2350000000000001
644246,0.541,1.0115,0.47050000000000003
645450,0.972,1.001,0.028999999999999915
645551,1.252,0.927,-0.32499999999999996
647858,1.289,0.868,-0.42099999999999993
654350,0.911,0.751,-0.16000000000000003
654552,0.747,0.622,-0.125
654754,0.793,0.9095,0.11649999999999994
656253,1.338,1.052,-0.28600000000000003
656657,1.0765,1.32,0.24350000000000005
657659,0.52,0.868,0.348
660951,0.716,0.65,-0.06599999999999995
663755,0.966,0.769,-0.19699999999999995
664757,1.161,0.891,-0.27
665254,0.6425,0.542,-0.10049999999999992
667056,0.585,0.698,0.11299999999999999
668361,0.9045,1.189,0.2845000000000001
671855,0.817,0.8905000000000001,0.07350000000000012
672756,1.408,0.67,-0.7379999999999999
673455,0.899,0.924,0.025000000000000022
675661,0.779,0.742,-0.03700000000000003
