subj_idx,stim,movie,rt,response
810843,Mental,Scaring.AVI,0.56,1
810843,Mental,SEDUCING-B.AVI,0.333,1
810843,Random,STAR-A.AVI,0.345,0
810843,Mental,SURPRISING-B.AVI,0.593,1
810843,Random,TENNIS-A.AVI,1.16,0
436239,Mental,COAXING-B.AVI,1.251,1
436239,Random,BILLIARD-A.AVI,1.155,0
436239,Random,DRIFTING-A.AVI,0.795,0
436239,Mental,Fishing.AVI,0.808,1
436239,Random,Random mechanical.AVI,0.713,0
355239,Mental,Scaring.AVI,1.203,1
355239,Mental,SEDUCING-B.AVI,0.861,1
355239,Random,STAR-A.AVI,0.73,0
355239,Mental,SURPRISING-B.AVI,0.832,1
355239,Random,TENNIS-A.AVI,0.82,0
792867,Mental,Scaring.AVI,0.58,1
792867,Mental,SEDUCING-B.AVI,0.811,1
792867,Random,STAR-A.AVI,0.889,1
792867,Mental,SURPRISING-B.AVI,0.681,1
792867,Random,TENNIS-A.AVI,1.336,0
164939,Mental,COAXING-B.AVI,1.427,1
164939,Random,BILLIARD-A.AVI,1.657,1
164939,Random,DRIFTING-A.AVI,0.826,0
164939,Mental,Fishing.AVI,1.891,1
164939,Random,Random mechanical.AVI,0.772,1
932554,Mental,Scaring.AVI,0.859,1
932554,Mental,SEDUCING-B.AVI,0.823,1
932554,Random,STAR-A.AVI,0.563,0
932554,Mental,SURPRISING-B.AVI,0.902,1
932554,Random,TENNIS-A.AVI,0.668,0
342129,Mental,COAXING-B.AVI,1.285,1
342129,Random,BILLIARD-A.AVI,1.245,0
342129,Random,DRIFTING-A.AVI,2.0,9
342129,Random,Random mechanical.AVI,0.637,0
559053,Mental,COAXING-B.AVI,1.183,1
559053,Random,BILLIARD-A.AVI,1.889,0
559053,Random,DRIFTING-A.AVI,2.346,0
559053,Mental,Fishing.AVI,1.203,1
559053,Random,Random mechanical.AVI,1.635,9
397861,Mental,COAXING-B.AVI,0.811,1
397861,Random,BILLIARD-A.AVI,2.094,0
397861,Random,DRIFTING-A.AVI,0.702,0
397861,Mental,Fishing.AVI,0.931,1
397861,Random,Random mechanical.AVI,0.688,0
845458,Mental,COAXING-B.AVI,1.27,1
845458,Random,BILLIARD-A.AVI,0.943,0
845458,Random,DRIFTING-A.AVI,0.558,0
845458,Mental,Fishing.AVI,0.868,1
845458,Random,Random mechanical.AVI,0.574,0
561444,Mental,COAXING-B.AVI,1.756,1
561444,Random,BILLIARD-A.AVI,1.17,0
561444,Random,DRIFTING-A.AVI,1.596,0
561444,Mental,Fishing.AVI,1.056,1
561444,Random,Random mechanical.AVI,1.468,0
406432,Mental,COAXING-B.AVI,1.836,1
406432,Random,BILLIARD-A.AVI,2.514,0
406432,Random,DRIFTING-A.AVI,0.706,0
406432,Mental,Fishing.AVI,2.283,1
406432,Random,Random mechanical.AVI,1.845,0
571144,Mental,COAXING-B.AVI,1.527,1
571144,Random,BILLIARD-A.AVI,1.151,0
571144,Random,DRIFTING-A.AVI,1.186,0
571144,Mental,Fishing.AVI,2.128,1
571144,Random,Random mechanical.AVI,1.088,0
123420,Mental,Scaring.AVI,1.758,1
123420,Mental,SEDUCING-B.AVI,0.92,1
123420,Random,STAR-A.AVI,1.057,0
579665,Random,BILLIARD-A.AVI,2.345,0
579665,Random,Random mechanical.AVI,2.465,9
413934,Mental,COAXING-B.AVI,0.872,1
413934,Random,BILLIARD-A.AVI,1.388,0
413934,Random,DRIFTING-A.AVI,1.358,0
413934,Mental,Fishing.AVI,1.525,1
413934,Random,Random mechanical.AVI,1.196,9
679568,Mental,Scaring.AVI,1.136,1
679568,Mental,SEDUCING-B.AVI,0.891,1
679568,Random,STAR-A.AVI,0.494,0
679568,Mental,SURPRISING-B.AVI,0.922,1
679568,Random,TENNIS-A.AVI,0.686,0
214423,Mental,COAXING-B.AVI,1.072,1
214423,Random,BILLIARD-A.AVI,1.377,0
214423,Random,DRIFTING-A.AVI,0.984,0
214423,Mental,Fishing.AVI,1.852,1
214423,Random,Random mechanical.AVI,1.545,9
150625,Mental,Scaring.AVI,0.842,1
150625,Mental,SEDUCING-B.AVI,0.981,1
150625,Random,STAR-A.AVI,1.29,0
150625,Mental,SURPRISING-B.AVI,1.245,1
150625,Random,TENNIS-A.AVI,2.017,0
589567,Mental,SEDUCING-B.AVI,0.511,1
589567,Random,STAR-A.AVI,0.601,0
589567,Mental,SURPRISING-B.AVI,0.657,1
589567,Random,TENNIS-A.AVI,0.833,0
168341,Mental,Scaring.AVI,0.688,1
168341,Mental,SEDUCING-B.AVI,0.948,1
168341,Mental,SURPRISING-B.AVI,0.764,1
168341,Random,TENNIS-A.AVI,0.561,0
219231,Mental,Scaring.AVI,1.296,1
219231,Mental,SEDUCING-B.AVI,1.005,1
219231,Random,STAR-A.AVI,1.065,0
219231,Mental,SURPRISING-B.AVI,1.028,1
219231,Random,TENNIS-A.AVI,0.843,0
553344,Mental,Scaring.AVI,1.096,1
553344,Mental,SEDUCING-B.AVI,0.792,1
553344,Random,STAR-A.AVI,0.731,0
553344,Mental,SURPRISING-B.AVI,1.536,1
553344,Random,TENNIS-A.AVI,0.864,0
397154,Mental,Scaring.AVI,0.7,1
397154,Mental,SEDUCING-B.AVI,0.747,1
397154,Random,STAR-A.AVI,0.496,0
397154,Mental,SURPRISING-B.AVI,0.839,1
397154,Random,TENNIS-A.AVI,1.736,0
134425,Mental,Scaring.AVI,2.046,1
134425,Mental,SEDUCING-B.AVI,1.15,1
134425,Random,STAR-A.AVI,0.531,0
134425,Mental,SURPRISING-B.AVI,0.628,1
134425,Random,TENNIS-A.AVI,0.723,9
120212,Mental,COAXING-B.AVI,0.871,1
120212,Random,BILLIARD-A.AVI,1.473,0
120212,Random,DRIFTING-A.AVI,0.663,0
120212,Mental,Fishing.AVI,0.61,1
120212,Random,Random mechanical.AVI,0.637,0
115017,Mental,Scaring.AVI,0.522,1
115017,Mental,SEDUCING-B.AVI,0.822,1
115017,Random,STAR-A.AVI,0.537,0
115017,Mental,SURPRISING-B.AVI,0.999,1
115017,Random,TENNIS-A.AVI,1.204,0
567052,Mental,COAXING-B.AVI,1.802,1
567052,Random,BILLIARD-A.AVI,0.9,0
567052,Random,DRIFTING-A.AVI,0.967,0
567052,Mental,Fishing.AVI,0.873,1
567052,Random,Random mechanical.AVI,1.41,1
166438,Mental,Scaring.AVI,0.618,1
166438,Mental,SEDUCING-B.AVI,0.589,1
166438,Random,STAR-A.AVI,0.401,0
166438,Mental,SURPRISING-B.AVI,0.78,1
166438,Random,TENNIS-A.AVI,0.722,0
124826,Mental,COAXING-B.AVI,2.02,1
124826,Random,BILLIARD-A.AVI,1.696,0
124826,Random,DRIFTING-A.AVI,1.306,0
124826,Mental,Fishing.AVI,1.455,1
124826,Random,Random mechanical.AVI,1.168,0
910443,Mental,COAXING-B.AVI,1.099,1
910443,Random,BILLIARD-A.AVI,1.079,0
910443,Random,DRIFTING-A.AVI,1.039,0
910443,Mental,Fishing.AVI,0.822,1
910443,Random,Random mechanical.AVI,1.586,0
599065,Mental,COAXING-B.AVI,0.775,1
599065,Random,BILLIARD-A.AVI,0.459,0
599065,Random,DRIFTING-A.AVI,0.869,0
599065,Mental,Fishing.AVI,0.885,1
599065,Random,Random mechanical.AVI,0.548,0
177746,Mental,COAXING-B.AVI,1.109,1
177746,Random,BILLIARD-A.AVI,0.939,0
177746,Random,DRIFTING-A.AVI,0.662,0
177746,Mental,Fishing.AVI,0.995,1
177746,Random,Random mechanical.AVI,1.181,0
192439,Random,BILLIARD-A.AVI,1.52,0
192439,Random,DRIFTING-A.AVI,0.939,0
192439,Mental,Fishing.AVI,1.176,9
192439,Random,Random mechanical.AVI,0.998,9
499566,Mental,COAXING-B.AVI,1.295,1
499566,Random,BILLIARD-A.AVI,0.693,0
499566,Random,DRIFTING-A.AVI,0.656,0
499566,Mental,Fishing.AVI,2.024,1
499566,Random,Random mechanical.AVI,1.957,0
175237,Mental,COAXING-B.AVI,1.071,1
175237,Random,BILLIARD-A.AVI,0.58,0
175237,Random,DRIFTING-A.AVI,1.257,0
175237,Mental,Fishing.AVI,0.947,1
175237,Random,Random mechanical.AVI,1.035,0
129129,Mental,Scaring.AVI,2.215,1
129129,Mental,SEDUCING-B.AVI,1.614,1
129129,Random,STAR-A.AVI,0.334,0
129129,Mental,SURPRISING-B.AVI,0.64,1
129129,Random,TENNIS-A.AVI,0.805,0
587664,Mental,COAXING-B.AVI,1.879,1
587664,Random,BILLIARD-A.AVI,1.237,0
587664,Random,DRIFTING-A.AVI,1.809,0
587664,Mental,Fishing.AVI,2.077,9
587664,Random,Random mechanical.AVI,1.412,9
465852,Mental,COAXING-B.AVI,1.609,1
465852,Random,BILLIARD-A.AVI,1.878,0
465852,Random,DRIFTING-A.AVI,1.518,0
465852,Mental,Fishing.AVI,2.223,1
465852,Random,Random mechanical.AVI,1.251,0
601127,Mental,COAXING-B.AVI,0.671,1
601127,Random,BILLIARD-A.AVI,0.653,0
601127,Random,DRIFTING-A.AVI,0.694,0
601127,Mental,Fishing.AVI,0.657,1
601127,Random,Random mechanical.AVI,2.387,0
173536,Mental,COAXING-B.AVI,1.222,9
173536,Random,BILLIARD-A.AVI,1.933,0
173536,Random,DRIFTING-A.AVI,0.672,0
173536,Mental,Fishing.AVI,0.729,1
173536,Random,Random mechanical.AVI,0.595,1
199150,Mental,COAXING-B.AVI,0.945,1
199150,Random,BILLIARD-A.AVI,1.249,0
199150,Random,DRIFTING-A.AVI,0.545,0
199150,Random,Random mechanical.AVI,0.889,0
251833,Mental,Scaring.AVI,0.715,1
251833,Mental,SEDUCING-B.AVI,0.613,1
251833,Random,STAR-A.AVI,0.832,0
251833,Mental,SURPRISING-B.AVI,0.657,1
251833,Random,TENNIS-A.AVI,0.957,0
665254,Mental,COAXING-B.AVI,0.749,1
