subj_idx,stim,movie,rt,response
157437,Random,STAR-A.AVI,0.831,0
157437,Mental,SURPRISING-B.AVI,0.544,1
157437,Random,TENNIS-A.AVI,0.716,0
144731,Mental,Scaring.AVI,0.361,1
144731,Mental,SEDUCING-B.AVI,0.538,1
144731,Random,STAR-A.AVI,0.901,0
144731,Mental,SURPRISING-B.AVI,0.693,1
144731,Random,TENNIS-A.AVI,1.225,0
283543,Mental,Scaring.AVI,0.694,1
283543,Mental,SEDUCING-B.AVI,0.34,1
283543,Random,STAR-A.AVI,0.573,0
283543,Mental,SURPRISING-B.AVI,0.449,1
